__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw
1751346438.770883,770526658.000000000,1751346438.000000000,4.000000000,0.253961603,-0.097076381,0.252623450,-0.008484765,-0.024614970,0.000393914,0.000001201,-0.000017295,-0.033573989
1751346438.820778,820515681.000000000,1751346438.000000000,4.000000000,0.253951228,-0.097085814,0.252612879,-0.008484984,-0.024616348,0.000379650,0.000000141,-0.000019563,-0.033576257
1751346438.870783,870499782.000000000,1751346438.000000000,4.000000000,0.253942963,-0.097093255,0.252604463,-0.008485029,-0.024617428,0.000368615,-0.000000496,-0.000021216,-0.033577555
1751346438.920792,920517990.000000000,1751346438.000000000,4.000000000,0.253941673,-0.097094735,0.252603144,-0.008484990,-0.024617677,0.000360480,-0.000000856,-0.000021511,-0.033577577
1751346438.970947,970498051.000000000,1751346438.000000000,4.000000000,0.253938740,-0.097096298,0.252600185,-0.008484967,-0.024617787,0.000349656,-0.000001342,-0.000021706,-0.033577877
1751346439.020809,20486956.000000000,1751346439.000000000,4.000000000,0.253788171,-0.097070232,0.252450905,-0.008484292,-0.024596607,0.000276437,-0.000004419,-0.000008444,-0.033595046
1751346439.071012,70646709.000000000,1751346439.000000000,4.000000000,0.253676956,-0.097057418,0.252340480,-0.008483903,-0.024582593,0.000222809,-0.000006585,-0.000000807,-0.033608196
1751346439.120737,120498066.000000000,1751346439.000000000,4.000000000,0.253641596,-0.097063354,0.252305121,-0.008483870,-0.024580665,0.000202194,-0.000007231,-0.000001520,-0.033612773
1751346439.170672,170481885.000000000,1751346439.000000000,4.000000000,0.253604866,-0.097075908,0.252268247,-0.008483496,-0.024580274,0.000180831,-0.000007479,-0.000003675,-0.033616202
1751346439.220801,220511722.000000000,1751346439.000000000,4.000000000,0.253500104,-0.097067523,0.252164183,-0.008481800,-0.024568004,0.000131845,-0.000007825,0.000002714,-0.033623346
1751346439.270748,270500211.000000000,1751346439.000000000,4.000000000,0.253363317,-0.097058166,0.252028284,-0.008479081,-0.024552388,0.000068837,-0.000007567,0.000010361,-0.033630686
1751346439.320813,320507485.000000000,1751346439.000000000,4.000000000,0.253229310,-0.097050245,0.251895147,-0.008475503,-0.024537406,0.000008777,-0.000006278,0.000017428,-0.033634258
1751346439.370718,370493958.000000000,1751346439.000000000,4.000000000,0.253099603,-0.097042618,0.251766307,-0.008471257,-0.024522916,-0.000048062,-0.000004127,0.000024016,-0.033634614
1751346439.420764,420519984.000000000,1751346439.000000000,4.000000000,0.252974333,-0.097039280,0.251641786,-0.008466849,-0.024509938,-0.000102185,-0.000001762,0.000029292,-0.033633745
1751346439.470988,470535500.000000000,1751346439.000000000,4.000000000,0.252911637,-0.097035221,0.251579523,-0.008464661,-0.024502842,-0.000128198,-0.000000571,0.000032204,-0.033633377
1751346439.520958,520510257.000000000,1751346439.000000000,4.000000000,0.252846211,-0.097027240,0.251514640,-0.008462398,-0.024494495,-0.000154070,0.000000681,0.000035801,-0.033633062
1751346439.570822,570511925.000000000,1751346439.000000000,4.000000000,0.252694453,-0.097010498,0.251364135,-0.008456013,-0.024475582,-0.000215982,0.000004591,0.000044815,-0.033627810
1751346439.620968,620697518.000000000,1751346439.000000000,4.000000000,0.252612967,-0.097007792,0.251283211,-0.008451313,-0.024467010,-0.000246745,0.000008006,0.000047259,-0.033619950
1751346439.670814,670532617.000000000,1751346439.000000000,4.000000000,0.252641016,-0.097028779,0.251310755,-0.008447557,-0.024475003,-0.000229695,0.000012732,0.000039034,-0.033601336
1751346439.720881,720541954.000000000,1751346439.000000000,4.000000000,0.252641100,-0.097045297,0.251310586,-0.008443063,-0.024479165,-0.000224326,0.000017296,0.000033291,-0.033583499
1751346439.770715,770524916.000000000,1751346439.000000000,4.000000000,0.252675378,-0.097068878,0.251344274,-0.008439208,-0.024488417,-0.000204060,0.000021608,0.000024537,-0.033563680
1751346439.820782,820515729.000000000,1751346439.000000000,4.000000000,0.252701927,-0.097090331,0.251370284,-0.008436310,-0.024496385,-0.000188630,0.000024613,0.000017198,-0.033548694
1751346439.870697,870503967.000000000,1751346439.000000000,4.000000000,0.252734576,-0.097122546,0.251402099,-0.008433570,-0.024507654,-0.000170404,0.000027200,0.000007051,-0.033533565
1751346439.921114,920530234.000000000,1751346439.000000000,4.000000000,0.252683256,-0.097129465,0.251350889,-0.008431607,-0.024504417,-0.000190300,0.000027091,0.000007613,-0.033532589
1751346439.970930,970560735.000000000,1751346439.000000000,4.000000000,0.252600284,-0.097128338,0.251268336,-0.008430221,-0.024496088,-0.000224273,0.000025773,0.000011628,-0.033538089
1751346440.020752,20509133.000000000,1751346440.000000000,4.000000000,0.252589462,-0.097151283,0.251257068,-0.008428074,-0.024500807,-0.000222057,0.000026219,0.000006068,-0.033531058
1751346440.070995,70685660.000000000,1751346440.000000000,4.000000000,0.252628418,-0.097182724,0.251295122,-0.008427156,-0.024512491,-0.000200635,0.000026978,-0.000003555,-0.033522336
1751346440.120937,120528001.000000000,1751346440.000000000,4.000000000,0.252647946,-0.097201278,0.251314139,-0.008426397,-0.024519051,-0.000188206,0.000027106,-0.000008587,-0.033516781
1751346440.171012,170522317.000000000,1751346440.000000000,4.000000000,0.252675799,-0.097223812,0.251341341,-0.008425866,-0.024527421,-0.000171995,0.000027012,-0.000014725,-0.033511049
1751346440.220865,220529244.000000000,1751346440.000000000,4.000000000,0.252703011,-0.097243972,0.251367957,-0.008425512,-0.024535133,-0.000156225,0.000026643,-0.000019893,-0.033506096
1751346440.270720,270510592.000000000,1751346440.000000000,4.000000000,0.252738078,-0.097263827,0.251402383,-0.008425752,-0.024543532,-0.000137363,0.000025797,-0.000025110,-0.033502463
1751346440.320864,320495298.000000000,1751346440.000000000,4.000000000,0.252696287,-0.097261507,0.251360840,-0.008425222,-0.024538890,-0.000153238,0.000024206,-0.000021089,-0.033505890
1751346440.370961,370513975.000000000,1751346440.000000000,4.000000000,0.252638956,-0.097254292,0.251303961,-0.008424155,-0.024531509,-0.000176217,0.000023147,-0.000015455,-0.033509227
1751346440.420947,420528081.000000000,1751346440.000000000,4.000000000,0.252579545,-0.097250025,0.251244949,-0.008422761,-0.024524667,-0.000198946,0.000022273,-0.000010446,-0.033511549
1751346440.470862,470488969.000000000,1751346440.000000000,4.000000000,0.252441682,-0.097232275,0.251108185,-0.008420111,-0.024506821,-0.000253860,0.000020639,0.000001789,-0.033519249
1751346440.521170,520600757.000000000,1751346440.000000000,4.000000000,0.252150423,-0.097382977,0.250814832,-0.008408537,-0.024516366,-0.000384427,0.000026457,-0.000024742,-0.033512328
1751346440.570782,570501912.000000000,1751346440.000000000,4.000000000,0.251035865,-0.097959481,0.249692263,-0.008365228,-0.024552032,-0.000887591,0.000048834,-0.000121458,-0.033489624
1751346440.620810,620524240.000000000,1751346440.000000000,4.000000000,0.250863167,-0.098576407,0.249505222,-0.008361692,-0.024689159,-0.000958399,0.000047043,-0.000261951,-0.033500555
1751346440.670867,670487553.000000000,1751346440.000000000,4.000000000,0.250976709,-0.099558287,0.249593451,-0.008374793,-0.024945554,-0.000908900,0.000033165,-0.000500114,-0.033541152
1751346440.720972,720587953.000000000,1751346440.000000000,4.000000000,0.250690999,-0.099875515,0.249301395,-0.008365229,-0.024996287,-0.001029561,0.000036834,-0.000548484,-0.033542097
1751346440.770844,770523040.000000000,1751346440.000000000,4.000000000,0.249411369,-0.101352267,0.247991728,-0.008325916,-0.025235152,-0.001607222,0.000050866,-0.000824851,-0.033560756
1751346440.820729,820497351.000000000,1751346440.000000000,4.000000000,0.249532463,-0.102148385,0.248078454,-0.008722443,-0.025445034,-0.001545256,-0.000386969,-0.000979792,-0.035145539
1751346440.870957,870524662.000000000,1751346440.000000000,4.000000000,0.249305883,-0.102672019,0.247827284,-0.009064580,-0.025551791,-0.001641697,-0.000752230,-0.001054285,-0.036559903
1751346440.920795,920493307.000000000,1751346440.000000000,4.000000000,0.249924404,-0.102339457,0.248442101,-0.009317801,-0.025532505,-0.001322148,-0.000971582,-0.000942277,-0.037487350
1751346440.971068,970541266.000000000,1751346440.000000000,4.000000000,0.249186941,-0.102925874,0.247695806,-0.009242848,-0.025602523,-0.001634901,-0.000856213,-0.001010501,-0.037298013
1751346441.020975,20537220.000000000,1751346441.000000000,4.000000000,0.248223390,-0.103521177,0.246725319,-0.009138918,-0.025650505,-0.002028243,-0.000701705,-0.001046352,-0.037023932
1751346441.070704,70488596.000000000,1751346441.000000000,4.000000000,0.247879060,-0.103383677,0.246387048,-0.009113849,-0.025581023,-0.002122999,-0.000640061,-0.000932609,-0.036973110
1751346441.120929,120523564.000000000,1751346441.000000000,4.000000000,0.247881052,-0.103017052,0.246391666,-0.009294098,-0.025490832,-0.002070292,-0.000808372,-0.000788420,-0.037702953
1751346441.170918,170522734.000000000,1751346441.000000000,4.000000000,0.247924591,-0.102442802,0.246439500,-0.009558556,-0.025353689,-0.002005470,-0.001069654,-0.000606212,-0.038767188
1751346441.220608,220472264.000000000,1751346441.000000000,4.000000000,0.247990976,-0.101944176,0.246506024,-0.009867864,-0.025237469,-0.001915234,-0.001340388,-0.000438705,-0.040009562
1751346441.270628,270469046.000000000,1751346441.000000000,4.000000000,0.248122730,-0.101847936,0.246630375,-0.010096503,-0.025227122,-0.001816649,-0.001521391,-0.000392909,-0.040914945
1751346441.321047,320514703.000000000,1751346441.000000000,4.000000000,0.248243892,-0.102168931,0.246735834,-0.010267474,-0.025318711,-0.001740632,-0.001641256,-0.000460910,-0.041589230
1751346441.371126,370580060.000000000,1751346441.000000000,4.000000000,0.248243892,-0.102168931,0.246735834,-0.010267474,-0.025318711,-0.001740632,-0.001641256,-0.000460910,-0.041589230
1751346441.420823,420520954.000000000,1751346441.000000000,4.000000000,0.248276344,-0.102808829,0.246740406,-0.010539514,-0.025480059,-0.001662435,-0.001745727,-0.000564622,-0.042689041
1751346441.470831,470524653.000000000,1751346441.000000000,4.000000000,0.248473266,-0.103032854,0.246923233,-0.010714022,-0.025555638,-0.001549930,-0.001847584,-0.000600002,-0.043362893
1751346441.520950,520509081.000000000,1751346441.000000000,4.000000000,0.248641343,-0.102608035,0.247093990,-0.010884213,-0.025467855,-0.001430560,-0.001925298,-0.000465231,-0.044020423
1751346441.570744,570518737.000000000,1751346441.000000000,4.000000000,0.248675329,-0.101986589,0.247138193,-0.011006874,-0.025317606,-0.001370507,-0.001958846,-0.000284608,-0.044507911
1751346441.620840,620519661.000000000,1751346441.000000000,4.000000000,0.248800932,-0.101684371,0.247265261,-0.011133284,-0.025255591,-0.001276255,-0.001980802,-0.000198004,-0.044995282
1751346441.670808,670506080.000000000,1751346441.000000000,4.000000000,0.248980595,-0.102086266,0.247428801,-0.011247991,-0.025373374,-0.001178274,-0.001988069,-0.000292950,-0.045428231
1751346441.720973,720545227.000000000,1751346441.000000000,4.000000000,0.249046251,-0.102395640,0.247481666,-0.011349724,-0.025456711,-0.001130716,-0.001984646,-0.000355953,-0.045828758
1751346441.770640,770469954.000000000,1751346441.000000000,4.000000000,0.249111614,-0.101884531,0.247556377,-0.011423077,-0.025336732,-0.001060874,-0.001948636,-0.000206614,-0.046110626
1751346441.820739,820474893.000000000,1751346441.000000000,4.000000000,0.249122995,-0.101426978,0.247576383,-0.011485903,-0.025224491,-0.001020054,-0.001911638,-0.000078024,-0.046360130
1751346441.870942,870533723.000000000,1751346441.000000000,4.000000000,0.249478821,-0.100993241,0.247941320,-0.011494248,-0.025152866,-0.000823895,-0.001807175,0.000020564,-0.046325577
