__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw,/predictor/armor_predictions/predictions[1]/armor_id,/predictor/armor_predictions/predictions[1]/distance,/predictor/armor_predictions/predictions[1]/pitch,/predictor/armor_predictions/predictions[1]/position/x,/predictor/armor_predictions/predictions[1]/position/y,/predictor/armor_predictions/predictions[1]/position/z,/predictor/armor_predictions/predictions[1]/velocity/x,/predictor/armor_predictions/predictions[1]/velocity/y,/predictor/armor_predictions/predictions[1]/velocity/z,/predictor/armor_predictions/predictions[1]/yaw
1751357964.816132,815862439.000000000,1751357964.000000000,4.000000000,0.502477364,0.117577871,0.492981191,-0.077321596,0.058944186,-0.005009177,-0.000272817,0.018425026,-0.155577433,,,,,,,,,,
1751357964.866356,865868615.000000000,1751357964.000000000,4.000000000,0.504113995,0.113040458,0.494978876,-0.076767954,0.056863993,-0.004321833,0.000164667,0.016713666,-0.153867502,,,,,,,,,,
1751357964.916246,915895980.000000000,1751357964.000000000,4.000000000,0.506325435,0.106660033,0.497650644,-0.076182798,0.053902349,-0.003456751,0.000635906,0.014646004,-0.151905588,,,,,,,,,,
1751357964.966108,965863465.000000000,1751357964.000000000,4.000000000,0.509559364,0.094107988,0.501680480,-0.075330434,0.047882856,-0.002169556,0.001304148,0.010837100,-0.149042705,,,,,,,,,,
1751357965.016203,15874827.000000000,1751357965.000000000,4.000000000,0.511377170,0.083122028,0.504135346,-0.074508387,0.042457776,-0.001357502,0.001860515,0.007513710,-0.146732198,,,,,,,,,,
1751357965.065956,65820601.000000000,1751357965.000000000,4.000000000,0.511887905,0.067977921,0.505435178,-0.073181521,0.034770282,-0.000838342,0.002630837,0.003030018,-0.143789891,,,,,,,,,,
1751357965.116459,115904756.000000000,1751357965.000000000,4.000000000,0.511887905,0.067977921,0.505435178,-0.073181521,0.034770282,-0.000838342,0.002630837,0.003030018,-0.143789891,,,,,,,,,,
1751357965.166159,165867707.000000000,1751357965.000000000,4.000000000,0.512112766,0.057488311,0.506120256,-0.072360098,0.029424284,-0.000531601,0.002989576,-0.000093899,-0.142007818,,,,,,,,,,
1751357965.216201,215866334.000000000,1751357965.000000000,4.000000000,0.513849211,0.040041463,0.508378310,-0.071898467,0.020569777,0.000238037,0.003263205,-0.004983330,-0.140495326,,,,,,,,,,
1751357965.266164,265886758.000000000,1751357965.000000000,4.000000000,0.514331118,0.026390392,0.509164975,-0.071437617,0.013571824,0.000556968,0.003466287,-0.008707183,-0.139393574,,,,,,,,,,
1751357965.316127,315816735.000000000,1751357965.000000000,4.000000000,0.513272894,0.009742082,0.508357620,-0.070686572,0.005000268,0.000448996,0.003741955,-0.013136384,-0.138163011,,,,,,,,,,
1751357965.366290,365885851.000000000,1751357965.000000000,4.000000000,0.512190244,-0.003084814,0.507372733,-0.070066114,-0.001580009,0.000262018,0.003937438,-0.016375298,-0.137227996,,,,,,,,,,
1751357965.416363,415885033.000000000,1751357965.000000000,4.000000000,0.511606395,-0.009953251,0.506812705,-0.069685410,-0.005092063,0.000147626,0.004026625,-0.017908931,-0.136640574,,,,,,,,,,
1751357965.466244,465889123.000000000,1751357965.000000000,4.000000000,0.510357326,-0.019574372,0.505540235,-0.069237887,-0.009989286,-0.000149852,0.004101270,-0.020087349,-0.136111389,,,,,,,,,,
1751357965.516158,515866089.000000000,1751357965.000000000,4.000000000,0.508056890,-0.033402789,0.503073505,-0.068927216,-0.016967361,-0.000761145,0.004024822,-0.023270473,-0.136164399,,,,,,,,,,
1751357965.566170,565869750.000000000,1751357965.000000000,4.000000000,0.507115954,-0.042480151,0.501943824,-0.068957915,-0.021535884,-0.001032249,0.003833765,-0.025138399,-0.136527093,,,,,,,,,,
1751357965.616097,615831707.000000000,1751357965.000000000,4.000000000,0.507928255,-0.050633133,0.502497289,-0.069474715,-0.025707011,-0.000851806,0.003428605,-0.026648349,-0.137387889,,,,,,,,,,
1751357965.666179,665867160.000000000,1751357965.000000000,4.000000000,0.508357728,-0.054986839,0.502769489,-0.069784227,-0.027938900,-0.000769032,0.003173466,-0.027252803,-0.137918467,,,,,,,,,,
1751357965.716043,715838974.000000000,1751357965.000000000,4.000000000,0.509852503,-0.057110803,0.504151757,-0.070239872,-0.029102260,-0.000394877,0.002875860,-0.027127537,-0.138431770,,,,,,,,,,
1751357965.766338,765879104.000000000,1751357965.000000000,4.000000000,0.511230547,-0.056923016,0.505509516,-0.070504328,-0.029085072,-0.000035146,0.002708580,-0.026449622,-0.138577869,,,,,,,,,,
1751357965.816179,815867754.000000000,1751357965.000000000,4.000000000,0.513906573,-0.052901497,0.508251376,-0.071007689,-0.027173748,0.000680337,0.002456116,-0.024611757,-0.138811292,,,,,,,,,,
1751357965.866241,865831301.000000000,1751357965.000000000,4.000000000,0.516489792,-0.045963907,0.510964548,-0.071510494,-0.023731531,0.001367940,0.002212251,-0.022003799,-0.139048833,,,,,,,,,,
1751357965.916101,915846369.000000000,1751357965.000000000,4.000000000,0.517279957,-0.040160094,0.511848000,-0.071825146,-0.020768428,0.001552297,0.002011092,-0.019822727,-0.139414825,,,,,,,,,,
1751357965.966154,965875366.000000000,1751357965.000000000,4.000000000,0.518898415,-0.032768624,0.513528565,-0.072491100,-0.017000544,0.001946629,0.001642898,-0.017253849,-0.140236149,,,,,,,,,,
1751357966.016198,15877267.000000000,1751357966.000000000,4.000000000,0.519944308,-0.018265340,0.514618095,-0.073621453,-0.009496432,0.002120749,0.000965788,-0.012506796,-0.142096207,,,,,,,,,,
1751357966.066235,66026294.000000000,1751357966.000000000,4.000000000,0.520145109,-0.005269643,0.514789558,-0.074398469,-0.002740966,0.002076336,0.000484841,-0.008415254,-0.143528332,,,,,,,,,,
1751357966.116163,115883941.000000000,1751357966.000000000,4.000000000,0.519554614,0.005302101,0.514119398,-0.074904288,0.002754718,0.001823955,0.000139310,-0.005159209,-0.144676401,,,,,,,,,,
1751357966.166375,165875028.000000000,1751357966.000000000,4.000000000,0.519366847,0.013419460,0.513822735,-0.075362759,0.006969413,0.001673893,-0.000161252,-0.002567565,-0.145632364,,,,,,,,,,
1751357966.216185,215872679.000000000,1751357966.000000000,4.000000000,0.518077368,0.027067574,0.512272456,-0.076055836,0.014021385,0.001176179,-0.000646573,0.001468777,-0.147390881,,,,,,,,,,
1751357966.266123,265855607.000000000,1751357966.000000000,4.000000000,0.514808308,0.050377494,0.508357283,-0.076996257,0.025923784,0.000011514,-0.001368580,0.008095667,-0.150318404,,,,,,,,,,
1751357966.316258,315960333.000000000,1751357966.000000000,4.000000000,0.510577747,0.073142158,0.503269077,-0.077574000,0.037311469,-0.001443902,-0.001909255,0.014271876,-0.152936570,,,,,,,,,,
1751357966.366152,365868538.000000000,1751357966.000000000,4.000000000,0.507885892,0.086587468,0.499959077,-0.077845305,0.043921622,-0.002365450,-0.002173648,0.017647807,-0.154463079,,,,,,,,,,
1751357966.416225,415869439.000000000,1751357966.000000000,4.000000000,0.504191580,0.103625447,0.495367948,-0.078100866,0.052153621,-0.003629597,-0.002472230,0.021802789,-0.156375118,,,,,,,,,,
1751357966.466194,465850269.000000000,1751357966.000000000,4.000000000,0.500233850,0.120560353,0.490392106,-0.078294158,0.060162381,-0.004962481,-0.002712643,0.025513567,-0.158320061,,,,,,,,,,
1751357966.516193,515897226.000000000,1751357966.000000000,4.000000000,0.497646275,0.131956220,0.487040956,-0.078458072,0.065477115,-0.005846075,-0.002883394,0.027864762,-0.159719164,,,,,,,,,,
1751357966.566199,565933212.000000000,1751357966.000000000,4.000000000,0.495255429,0.144250385,0.483745492,-0.078738524,0.071193285,-0.006706698,-0.003113947,0.030376141,-0.161353477,,,,,,,,,,
1751357966.616198,615881841.000000000,1751357966.000000000,4.000000000,0.493226349,0.156004937,0.480835997,-0.078715965,0.076634014,-0.007409610,-0.003110154,0.032443838,-0.162267114,,,,,,,,,,
