__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw,/predictor/armor_predictions/predictions[1]/armor_id,/predictor/armor_predictions/predictions[1]/distance,/predictor/armor_predictions/predictions[1]/pitch,/predictor/armor_predictions/predictions[1]/position/x,/predictor/armor_predictions/predictions[1]/position/y,/predictor/armor_predictions/predictions[1]/position/z,/predictor/armor_predictions/predictions[1]/velocity/x,/predictor/armor_predictions/predictions[1]/velocity/y,/predictor/armor_predictions/predictions[1]/velocity/z,/predictor/armor_predictions/predictions[1]/yaw
1751349427.284009,283382248.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.333840,333347716.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.383916,383362092.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.433754,433330316.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.483744,483337150.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.533677,533313444.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.583805,583386794.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.633727,633348169.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.683845,683355804.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349427.733743,733343976.000000000,1751349427.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
