__time,/detected_data/armor[0]/conf_color,/detected_data/armor[0]/conf_number,/detected_data/armor[0]/corners[0]/x,/detected_data/armor[0]/corners[0]/y,/detected_data/armor[0]/corners[0]/z,/detected_data/armor[0]/corners[1]/x,/detected_data/armor[0]/corners[1]/y,/detected_data/armor[0]/corners[1]/z,/detected_data/armor[0]/corners[2]/x,/detected_data/armor[0]/corners[2]/y,/detected_data/armor[0]/corners[2]/z,/detected_data/armor[0]/corners[3]/x,/detected_data/armor[0]/corners[3]/y,/detected_data/armor[0]/corners[3]/z,/detected_data/armor[0]/header/stamp/nanosec,/detected_data/armor[0]/header/stamp/sec,/detected_data/armor[0]/light_corners[0]/x,/detected_data/armor[0]/light_corners[0]/y,/detected_data/armor[0]/light_corners[0]/z,/detected_data/armor[0]/light_corners[1]/x,/detected_data/armor[0]/light_corners[1]/y,/detected_data/armor[0]/light_corners[1]/z,/detected_data/armor[0]/light_corners[2]/x,/detected_data/armor[0]/light_corners[2]/y,/detected_data/armor[0]/light_corners[2]/z,/detected_data/armor[0]/light_corners[3]/x,/detected_data/armor[0]/light_corners[3]/y,/detected_data/armor[0]/light_corners[3]/z,/detected_data/armor[0]/number,/detected_data/armor[0]/thread_id,/detected_data/armor_count,/detected_data/header/stamp/nanosec,/detected_data/header/stamp/sec,/detected_data/target_id
1752906052.772020,0.715610802,2.090335846,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,749224331.000000000,1752906052.000000000,388.653381348,408.007720947,0.000000000,792.975036621,387.380371094,0.000000000,805.130065918,526.818359375,0.000000000,380.419006348,547.264648438,0.000000000,3.000000000,0.000000000,1.000000000,749224331.000000000,1752906052.000000000,3.000000000
1752906052.788878,0.716053724,2.212181091,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,760206880.000000000,1752906052.000000000,387.739898682,407.835693359,0.000000000,791.449218750,388.515441895,0.000000000,805.950439453,526.351257324,0.000000000,380.422576904,547.219116211,0.000000000,3.000000000,0.000000000,1.000000000,760206880.000000000,1752906052.000000000,3.000000000
1752906052.800405,0.717653096,2.096755743,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,771423685.000000000,1752906052.000000000,388.636108398,408.074035645,0.000000000,791.456848145,388.526550293,0.000000000,806.358398438,527.490722656,0.000000000,380.404815674,547.223571777,0.000000000,3.000000000,0.000000000,1.000000000,771423685.000000000,1752906052.000000000,3.000000000
1752906052.813549,0.715610802,2.065513372,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,782422035.000000000,1752906052.000000000,388.212188721,407.923614502,0.000000000,792.476318359,387.495178223,0.000000000,806.321594238,527.459594727,0.000000000,380.414489746,547.301574707,0.000000000,3.000000000,0.000000000,1.000000000,782422035.000000000,1752906052.000000000,3.000000000
1752906052.822522,0.714665592,2.331539154,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,793564500.000000000,1752906052.000000000,388.205749512,407.927276611,0.000000000,792.958984375,387.457305908,0.000000000,805.040344238,526.795654297,0.000000000,378.438232422,548.228027344,0.000000000,3.000000000,0.000000000,1.000000000,793564500.000000000,1752906052.000000000,3.000000000
1752906052.833052,0.713951051,2.160455227,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,804635681.000000000,1752906052.000000000,388.217620850,407.974975586,0.000000000,791.439575195,388.553894043,0.000000000,805.971862793,526.391479492,0.000000000,380.414703369,547.204833984,0.000000000,3.000000000,0.000000000,1.000000000,804635681.000000000,1752906052.000000000,3.000000000
1752906052.848645,0.714369357,2.099021435,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,815776315.000000000,1752906052.000000000,388.639404297,408.104583740,0.000000000,792.968078613,387.445526123,0.000000000,806.015014648,526.355285645,0.000000000,380.409545898,547.205444336,0.000000000,3.000000000,0.000000000,1.000000000,815776315.000000000,1752906052.000000000,3.000000000
1752906052.859622,0.716053724,2.122808456,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,826944580.000000000,1752906052.000000000,388.169647217,407.898773193,0.000000000,791.462463379,388.521972656,0.000000000,805.986083984,526.396301270,0.000000000,380.422851563,547.229736328,0.000000000,3.000000000,0.000000000,1.000000000,826944580.000000000,1752906052.000000000,3.000000000
1752906052.874405,0.715460479,2.175849199,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,838147048.000000000,1752906052.000000000,388.186187744,407.897155762,0.000000000,792.972778320,387.424591064,0.000000000,805.988769531,526.360778809,0.000000000,380.428405762,547.221374512,0.000000000,3.000000000,0.000000000,1.000000000,838147048.000000000,1752906052.000000000,3.000000000
1752906052.880959,0.716342390,1.851224780,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,849124819.000000000,1752906052.000000000,388.190002441,407.886352539,0.000000000,791.468566895,388.485534668,0.000000000,805.980102539,526.448486328,0.000000000,380.414215088,547.311767578,0.000000000,3.000000000,0.000000000,1.000000000,849124819.000000000,1752906052.000000000,3.000000000
1752906052.891932,0.714778185,2.144286633,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,860306392.000000000,1752906052.000000000,388.149169922,407.877502441,0.000000000,792.938537598,387.435302734,0.000000000,806.325683594,527.487854004,0.000000000,380.437500000,547.224060059,0.000000000,3.000000000,0.000000000,1.000000000,860306392.000000000,1752906052.000000000,3.000000000
1752906052.904712,0.715265214,2.201232672,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,871428576.000000000,1752906052.000000000,388.149780273,407.866455078,0.000000000,791.041503906,388.482849121,0.000000000,805.156921387,526.850585938,0.000000000,380.416870117,547.330078125,0.000000000,3.000000000,0.000000000,1.000000000,871428576.000000000,1752906052.000000000,3.000000000
