__time,/debug/enable_control,/debug/fire,/debug/pitch,/debug/pitch_gimbal,/debug/target_pitch,/debug/target_yaw,/debug/yaw,/debug/yaw_gimbal
1764763374.351517,1.000000000,1.000000000,-0.044988606,-0.037914861,-0.044988606,-0.198550954,-0.198550954,-0.198693633
1764763374.362426,1.000000000,1.000000000,-0.045010988,-0.037899930,-0.045010988,-0.198629126,-0.198629126,-0.198980451
1764763374.373629,1.000000000,1.000000000,-0.044434410,-0.037948925,-0.044434410,-0.197485954,-0.197485954,-0.199177861
1764763374.384333,1.000000000,1.000000000,-0.044429183,-0.037937570,-0.044429183,-0.197500795,-0.197500795,-0.199221253
1764763374.395667,1.000000000,1.000000000,-0.044824623,-0.037922353,-0.044824623,-0.199359015,-0.199359015,-0.199181199
1764763374.406416,1.000000000,1.000000000,-0.044839144,-0.037915409,-0.044839144,-0.199475065,-0.199475065,-0.199131370
1764763374.417063,1.000000000,1.000000000,-0.044853628,-0.037932359,-0.044853628,-0.199590176,-0.199590176,-0.199109793
1764763374.428151,1.000000000,1.000000000,-0.044925280,-0.037959840,-0.044925280,-0.198974311,-0.198974311,-0.199081063
1764763374.439027,1.000000000,1.000000000,-0.044942323,-0.037962768,-0.044942323,-0.199058130,-0.199058130,-0.199169159
1764763374.450132,1.000000000,1.000000000,-0.044176333,-0.037946150,-0.044176333,-0.193534493,-0.193534493,-0.199238300
1764763374.460996,1.000000000,1.000000000,-0.044158675,-0.037952099,-0.044158675,-0.193354964,-0.193354964,-0.199210882
1764763374.472376,1.000000000,1.000000000,-0.044435810,-0.037962258,-0.044435810,-0.194454819,-0.194454819,-0.199280620
1764763374.483013,1.000000000,1.000000000,-0.044431325,-0.038005516,-0.044431325,-0.194337711,-0.194337711,-0.199020863
1764763374.493953,1.000000000,1.000000000,-0.044639762,-0.038023729,-0.044639762,-0.195150003,-0.195150003,-0.198481917
1764763374.504946,1.000000000,1.000000000,-0.044644933,-0.037983373,-0.044644933,-0.195078969,-0.195078969,-0.198059440
1764763374.515856,1.000000000,1.000000000,-0.044650156,-0.037990369,-0.044650156,-0.195007443,-0.195007443,-0.197697163
1764763374.526973,1.000000000,1.000000000,-0.044821378,-0.037960637,-0.044821378,-0.195576325,-0.195576325,-0.197466493
1764763374.538124,1.000000000,1.000000000,-0.044924524,-0.037919480,-0.044924524,-0.196005359,-0.196005359,-0.197445273
1764763374.549102,1.000000000,1.000000000,-0.044941604,-0.037963558,-0.044941600,-0.195986673,-0.195986673,-0.197399616
1764763374.560060,1.000000000,1.000000000,-0.044958379,-0.037979193,-0.044958379,-0.195968270,-0.195968270,-0.197463989
1764763374.570952,1.000000000,1.000000000,-0.044714738,-0.037944775,-0.044714738,-0.192870617,-0.192870617,-0.197476268
1764763374.582043,1.000000000,1.000000000,-0.044719458,-0.037933648,-0.044719458,-0.192700461,-0.192700461,-0.197490215
1764763374.593073,1.000000000,1.000000000,-0.044519156,-0.037933517,-0.044519156,-0.193952352,-0.193952352,-0.197551608
1764763374.603926,1.000000000,1.000000000,-0.044514563,-0.037953079,-0.044514563,-0.193847314,-0.193847314,-0.197431922
1764763374.615132,1.000000000,1.000000000,-0.045020394,-0.037993204,-0.045020394,-0.197478190,-0.197478190,-0.197107077
1764763374.626174,1.000000000,1.000000000,-0.045040488,-0.037976041,-0.045040488,-0.197559148,-0.197559148,-0.196934938
1764763374.637251,1.000000000,1.000000000,-0.045372061,-0.037971403,-0.045372061,-0.199413478,-0.199413478,-0.196801543
1764763374.648310,1.000000000,1.000000000,-0.045406986,-0.037984706,-0.045406986,-0.199577510,-0.199577510,-0.196995735
1764763374.659297,1.000000000,1.000000000,-0.045024570,-0.037953869,-0.045024570,-0.197075233,-0.197075233,-0.197292328
1764763374.670361,1.000000000,1.000000000,-0.045039304,-0.037948903,-0.045039304,-0.197098404,-0.197098404,-0.197697759
1764763374.681459,1.000000000,1.000000000,-0.044422470,-0.037939571,-0.044422470,-0.198053703,-0.198053703,-0.198107123
1764763374.692234,1.000000000,1.000000000,-0.044408418,-0.037964515,-0.044408418,-0.198125690,-0.198125690,-0.198387265
1764763374.703282,1.000000000,1.000000000,-0.044030063,-0.037967030,-0.044030063,-0.197047606,-0.197047606,-0.198410749
1764763374.714639,1.000000000,1.000000000,-0.043998711,-0.038002405,-0.043998711,-0.197053835,-0.197053835,-0.198489904
1764763374.725846,1.000000000,1.000000000,-0.044386379,-0.038008865,-0.044386379,-0.196607351,-0.196607351,-0.198446989
1764763374.736422,1.000000000,1.000000000,-0.044373810,-0.037990171,-0.044373810,-0.196588308,-0.196588308,-0.198412061
1764763374.747635,1.000000000,1.000000000,-0.044706099,-0.037990574,-0.044706099,-0.196775243,-0.196775243,-0.198364377
1764763374.758179,1.000000000,1.000000000,-0.044709519,-0.038019396,-0.044709519,-0.196762338,-0.196762338,-0.198319912
1764763374.769586,1.000000000,1.000000000,-0.045265958,-0.038049042,-0.045265958,-0.198172182,-0.198172182,-0.198324919
1764763374.780882,1.000000000,1.000000000,-0.045295045,-0.038046725,-0.045295045,-0.198237956,-0.198237956,-0.198325515
1764763374.791720,1.000000000,1.000000000,-0.045431502,-0.038026147,-0.045431502,-0.198956043,-0.198956043,-0.198372602
1764763374.802791,1.000000000,1.000000000,-0.045466624,-0.038012531,-0.045466624,-0.199061975,-0.199061975,-0.198344827
1764763374.814123,1.000000000,1.000000000,-0.045637466,-0.038040359,-0.045637466,-0.199303970,-0.199303970,-0.198375344
1764763374.825089,1.000000000,1.000000000,-0.045679674,-0.038033802,-0.045679674,-0.199422538,-0.199422538,-0.198486686
1764763374.836219,1.000000000,1.000000000,-0.045817632,-0.038013782,-0.045817632,-0.199382529,-0.199382529,-0.198548198
1764763374.846793,1.000000000,1.000000000,-0.045864113,-0.037973966,-0.045864113,-0.199495539,-0.199495539,-0.198580027
1764763374.858024,1.000000000,1.000000000,-0.045575015,-0.038000319,-0.045575015,-0.195125133,-0.195125133,-0.198757172
1764763374.868983,1.000000000,1.000000000,-0.045605857,-0.038012624,-0.045605857,-0.195015848,-0.195015848,-0.198843360
1764763374.879756,1.000000000,1.000000000,-0.045635961,-0.037969507,-0.045635961,-0.194909155,-0.194909155,-0.198873997
1764763374.890545,1.000000000,1.000000000,-0.045738779,-0.037950605,-0.045738779,-0.196418092,-0.196418092,-0.198844433
1764763374.901228,1.000000000,1.000000000,-0.045772523,-0.037974611,-0.045772523,-0.196388543,-0.196388543,-0.198640108
1764763374.912318,1.000000000,1.000000000,-0.045480452,-0.037962455,-0.045480452,-0.192851678,-0.192851678,-0.198371291
1764763374.923283,1.000000000,1.000000000,-0.045500021,-0.037948262,-0.045500021,-0.192645356,-0.192645356,-0.198256612
1764763374.934155,1.000000000,1.000000000,-0.045616817,-0.037916038,-0.045616817,-0.195425212,-0.195425212,-0.198151231
